"hra","hrb","hrab","hrneg","pa","pb","pab","pneg","method","N","event_ia","event_fa","n_rep","power_H1","power_H2","power_H3","power_Any"
1,1,1,1,0.3,0.3,0.1,0.3,"Bonferroni",750,225,450,5000,0.0084,0.0082,0.0118,0.022
1,1,1,1,0.3,0.3,0.1,0.3,"WPGSD",750,225,450,5000,0.0096,0.0086,0.0138,0.0252
