"hra","hrb","hrab","hrneg","pa","pb","pab","pneg","method","N","event_ia","event_fa","n_rep","power_H1","power_H2","power_H3","power_Any"
0.75,0.7,0.65,1.5,0.2,0.2,0.4,0.2,"Bonferroni",750,225,450,5000,0.7466,0.8008,0.5062,0.867
0.75,0.7,0.65,1.5,0.2,0.2,0.4,0.2,"WPGSD",750,225,450,5000,0.769,0.8182,0.5152,0.8808
