"H1_A1","H2_A1","H3_A1","H1_A2","H2_A2","H3_A2"
1,0.762770071396474,0.666666666666667,0.707106781186547,0.539359889970594,0.471404520791032
0.762770071396474,1,0.699205898780101,0.539359889970594,0.707106781186548,0.494413232473044
0.666666666666667,0.699205898780101,1,0.471404520791032,0.494413232473044,0.707106781186547
0.707106781186548,0.539359889970594,0.471404520791032,1,0.762770071396474,0.666666666666667
0.539359889970594,0.707106781186548,0.494413232473044,0.762770071396474,1,0.699205898780101
0.471404520791032,0.494413232473044,0.707106781186548,0.666666666666667,0.699205898780101,1
