"Analysis","Hypotheses","H1.B","H2.B","H3.B","H1.W","H2.W","H3.W","xi","order"
1,"H1, H2, H3",0.000214880410809748,0.000190676393327482,0.000170444897368727,0.000224700513789408,0.000199390365025553,0.00017823428327976,1.04570031741216,1
1,"H1, H2",0.000458864429402128,0.000411978918296585,NA,0.000471075787934465,0.000422942553646657,NA,1.0266121271336,2
1,"H1, H3",0.000458864429402128,NA,0.000372343066556091,0.000470177068791277,NA,0.000381522646778701,1.02465355487216,3
1,"H2, H3",NA,0.000411978918296585,0.000372343066556091,NA,0.000421452711149101,0.000380905400515334,1.02299581952321,4
1,"H1",0.00166567109702642,NA,NA,0.00166567109702642,NA,NA,1,5
1,"H2",NA,0.001525322757989,NA,NA,0.001525322757989,NA,1,6
1,"H3",NA,NA,0.00140439789377034,NA,NA,0.00140439789377034,1,7
2,"H1, H2, H3",0.00825939376916607,0.00826750009181743,0.00827430493805847,0.00949152442909586,0.00950084004736348,0.00950866003586848,1.14917930956744,1
2,"H1, H2",0.0123447998035311,0.0123601912931188,NA,0.0135085440238079,0.0135253864690478,NA,1.09426999536631,2
2,"H1, H3",0.0123447998035311,NA,0.0123732583713815,0.0134529422117699,NA,0.0134839553893681,1.08976592782994,3
2,"H2, H3",NA,0.0123601912931188,0.0123732583713815,NA,0.0134184897006866,0.0134326756020959,1.08562152336242,4
2,"H1",0.0244554718498006,NA,NA,0.0244554718498006,NA,NA,1,5
2,"H2",NA,0.0244997783036657,NA,NA,0.0244997783036657,NA,1,6
2,"H3",NA,NA,0.0245381084029127,NA,NA,0.0245381084029127,1,7
